Namespace(batch_size=128, depth=[784, 400, 400], drop_rate=0.5, epochs=30, evaluate=False, gammas=[0.1, 0.1], log_file='cnn_mnist_lr0.1_wd1e-4.log', lr=0.1, model='cnn_mnist', momentum=0.9, resume='', save_path='./save/cnn_mnist/cnn_mnist_lr0.1_wd1e-4_p0.5/', schedule=[20, 25], use_cuda=True, weight_decay=0.0001)
==> Building model..

Net(
  (conv1): Conv2d(1, 16, kernel_size=(3, 3), stride=(1, 1))
  (relu1): ReLU(inplace=True)
  (conv2): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1))
  (relu2): ReLU(inplace=True)
  (dropout1): Dropout(p=0.5, inplace=False)
  (dropout2): Dropout(p=0.5, inplace=False)
  (fc1): Linear(in_features=4608, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=10, bias=True)
)
----  --------  ---------  --------  ---------  --------  ----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    best_acc
----  --------  ---------  --------  ---------  --------  ----------
   1    0.1000     0.3758   88.2717     0.0798   97.6300     97.6300
   2    0.1000     0.2036   94.0033     0.0677   98.0000     98.0000
   3    0.1000     0.1752   94.9267     0.0921   97.2800     98.0000
   4    0.1000     0.1736   94.9567     0.0563   98.3500     98.3500
   5    0.1000     0.1490   95.6317     0.0496   98.5000     98.5000
   6    0.1000     0.1494   95.6083     0.0550   98.2900     98.5000
   7    0.1000     0.1463   95.7733     0.0570   98.4200     98.5000
   8    0.1000     0.1348   96.0500     0.0402   98.8400     98.8400
   9    0.1000     0.1307   96.2000     0.0604   98.3100     98.8400
  10    0.1000     0.1347   96.1067     0.0444   98.6600     98.8400
  11    0.1000     0.1289   96.2883     0.0376   98.7000     98.8400
  12    0.1000     0.1251   96.3233     0.0496   98.3900     98.8400
  13    0.1000     0.1149   96.7100     0.0425   98.6700     98.8400
  14    0.1000     0.1180   96.5600     0.0399   98.8100     98.8400
  15    0.1000     0.1128   96.7533     0.0471   98.4700     98.8400
  16    0.1000     0.1135   96.6883     0.0452   98.7300     98.8400
  17    0.1000     0.1125   96.7267     0.0471   98.5000     98.8400
  18    0.1000     0.1112   96.8117     0.0410   98.8000     98.8400
  19    0.1000     0.1052   96.9550     0.0439   98.6700     98.8400
  20    0.1000     0.1068   96.8900     0.0445   98.6400     98.8400
  21    0.0100     0.0683   97.8650     0.0325   99.0700     99.0700
  22    0.0100     0.0574   98.2233     0.0322   99.0100     99.0700
  23    0.0100     0.0564   98.2967     0.0308   99.1000     99.1000
  24    0.0100     0.0509   98.5000     0.0295   99.1000     99.1000
  25    0.0100     0.0508   98.4850     0.0286   99.1200     99.1200
  26    0.0010     0.0479   98.5800     0.0290   99.1600     99.1600
  27    0.0010     0.0473   98.5733     0.0293   99.1200     99.1600
  28    0.0010     0.0461   98.6167     0.0294   99.1500     99.1600
  29    0.0010     0.0460   98.6217     0.0293   99.1200     99.1600
  30    0.0010     0.0440   98.5967     0.0293   99.1100     99.1600
